,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.15471220016479492,0.0007564369047889469,0.007579612731933594,0.0004885582259392625,0.25,4,150,"{'max_features': 0.25, 'min_samples_split': 4, 'n_estimators': 150}",0.4550486842037671,0.6995946531402555,0.5834725056621033,0.7655317912737198,0.713711712658585,0.6434718693876861,0.11143181532400069,13
18,0.25822153091430666,0.001410875897992062,0.012167787551879883,0.00039894792785542045,0.25,4,250,"{'max_features': 0.25, 'min_samples_split': 4, 'n_estimators': 250}",0.452459519779004,0.679244977652457,0.5706457436575028,0.7724942301036086,0.6960410189187805,0.6341770980222705,0.11139784444977051,14
19,0.36043720245361327,0.0007977844117360097,0.017353916168212892,0.0004884025303901705,0.25,4,350,"{'max_features': 0.25, 'min_samples_split': 4, 'n_estimators': 350}",0.44101980177719435,0.6745752695225986,0.5703389559957732,0.7619358165758788,0.684537326152801,0.6264814340048492,0.11097692395371868,18
20,0.04926795959472656,0.0004880720860295397,0.0025954246520996094,0.0004904820578681844,0.25,6,50,"{'max_features': 0.25, 'min_samples_split': 6, 'n_estimators': 50}",0.4148066454801016,0.6236739578609432,0.5386075076026504,0.7563245572351047,0.7398426408550445,0.6146510618067689,0.12770758497256832,23
21,0.1481011390686035,0.001120105114431641,0.007579898834228516,0.0004886945264472148,0.25,6,150,"{'max_features': 0.25, 'min_samples_split': 6, 'n_estimators': 150}",0.4469579138831268,0.6494418287710282,0.5800561334385648,0.7579144225036893,0.7131498471713437,0.6295040291535506,0.1092259551908362,16
22,0.24494552612304688,0.0004884225577535875,0.012566757202148438,0.00048818865378640844,0.25,6,250,"{'max_features': 0.25, 'min_samples_split': 6, 'n_estimators': 250}",0.44091330173568244,0.6506438448589291,0.5770065212353471,0.7530007371693668,0.6888108993357255,0.6220750608670103,0.1070160142279807,19
23,0.3442262649536133,0.0013821325083520754,0.01715407371520996,0.00039846901048244557,0.25,6,350,"{'max_features': 0.25, 'min_samples_split': 6, 'n_estimators': 350}",0.4317873569517694,0.6326890069803435,0.5796658294704333,0.7448785161983651,0.6719049578307504,0.6121851334863323,0.10506689581008961,24
24,0.06722054481506348,0.0004886360620900065,0.0029918670654296873,3.5040231839893024e-07,0.5,2,50,"{'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 50}",0.5381465285453906,0.8523238152592308,0.4194036614412444,0.9071752975113447,0.8173927789152828,0.7068884163344987,0.19214516032000176,9
25,0.2010632038116455,0.0004880721559086617,0.007579946517944336,0.0004884414251808379,0.5,2,150,"{'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 150}",0.5203012419182047,0.8591363252272352,0.37183844335525174,0.905738887377431,0.8151110305894143,0.6944251856935073,0.21010933691408062,10
26,0.3361514091491699,0.0013433964527556675,0.012366628646850586,0.0004887341656297042,0.5,2,250,"{'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 250}",0.5294046213814081,0.8592485585569769,0.31662559295176196,0.9021558063660274,0.8145422531958176,0.6843953664903983,0.22548090715974706,12
27,0.46959290504455564,0.0014096398240311607,0.01755361557006836,0.0004884612042400369,0.5,2,350,"{'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 350}",0.5173548881085981,0.8638351961258143,0.34366047635582,0.8973243345386287,0.815266923681889,0.6874883637621501,0.21845810398693183,11
28,0.059322690963745116,0.0004475371806212428,0.002992057800292969,1.9073486328125e-07,0.5,4,50,"{'max_features': 0.5, 'min_samples_split': 4, 'n_estimators': 50}",0.5518190870611246,0.8334160079458802,0.5732649715735325,0.8956467073315575,0.7839978443254363,0.7276289236475062,0.13952466907129574,1
29,0.17931313514709474,0.0021276797128016453,0.007579803466796875,0.0004887139602838393,0.5,4,150,"{'max_features': 0.5, 'min_samples_split': 4, 'n_estimators': 150}",0.5273336877037167,0.8340944016169245,0.5386249006524892,0.8934671673088062,0.8069586851903567,0.7200957684944587,0.1553624100248491,3
30,0.2957623958587646,0.005793915918103021,0.012366676330566406,0.0004885972991334478,0.5,4,250,"{'max_features': 0.5, 'min_samples_split': 4, 'n_estimators': 250}",0.5351131056676726,0.8275138262521858,0.5113505561186431,0.8915319848374171,0.8011191314495123,0.7133257208650863,0.1581504234978657,6
31,0.4085085868835449,0.0007984883520208741,0.01735348701477051,0.0004886555075578522,0.5,4,350,"{'max_features': 0.5, 'min_samples_split': 4, 'n_estimators': 350}",0.5269199814401099,0.8252219076919682,0.5293176042432977,0.8910312171018777,0.8062547663166619,0.7157490953587831,0.1557642644904718,4
32,0.05565314292907715,0.0007442032740065966,0.0027912616729736327,0.00039845000844280934,0.5,6,50,"{'max_features': 0.5, 'min_samples_split': 6, 'n_estimators': 50}",0.5486410783017257,0.8217861521185603,0.6060965846643749,0.8910351540250313,0.7567993217861422,0.7248716581791669,0.12898591982308064,2
33,0.1645606517791748,0.000891803674973923,0.007779550552368164,0.00039920812580383454,0.5,6,150,"{'max_features': 0.5, 'min_samples_split': 6, 'n_estimators': 150}",0.5257905885079067,0.8261839751769842,0.5491788319330742,0.8934078477852528,0.7834872369894901,0.7156096960785415,0.14978433873252556,5
34,0.27506518363952637,0.00074635290163671,0.01296544075012207,2.132480599880018e-07,0.5,6,250,"{'max_features': 0.5, 'min_samples_split': 6, 'n_estimators': 250}",0.5392488106831651,0.8180234806844624,0.5203980389712455,0.8829071051119469,0.7788095377089309,0.7078773946319502,0.1492535003733029,8
35,0.38480052947998045,0.0012935927149341244,0.017353534698486328,0.0004888114202290336,0.5,6,350,"{'max_features': 0.5, 'min_samples_split': 6, 'n_estimators': 350}",0.5344829308279028,0.8152501882330183,0.5432156161704318,0.8799961823667277,0.7888704834557683,0.7123630802107698,0.14477030691592319,7
