,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.047107505798339847,0.001440594829939082,0.0007992744445800781,0.0003996518582657907,tanh,0.05,"(20,)",constant,2000,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",-0.7507081581951094,0.007547180936412157,-0.8979118390144267,-0.19101488417617762,-1.1602864503076762,-0.5984748301513956,0.4385786338808053,31
13,0.7427719593048095,0.016253360351764598,0.0009974002838134765,1.4510273031905117e-06,tanh,0.05,"(20,)",constant,2000,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.6968797375098886,0.7818469381318671,-1.085927494050018,0.5661092336299209,0.7087386387255981,0.33352941078945136,0.7131262593212587,7
14,0.6878492832183838,0.21851499557042192,0.000999116897583008,3.136269312363691e-06,tanh,0.05,"(20,)",adaptive,2000,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",-0.4330897990650664,0.009250673969490975,-0.14917672914604085,-0.20729088581306043,-0.17857710731759346,-0.19177676947445405,0.14203780735467142,28
15,0.7449675083160401,0.014467255056563844,0.0009977340698242188,0.0006306763947454082,tanh,0.05,"(20,)",adaptive,2000,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.6968797375098886,0.7818469381318671,-1.085927494050018,0.5661092336299209,0.7087386387255981,0.33352941078945136,0.7131262593212587,7
16,0.15118613243103027,0.018440978205037848,0.0007978439331054688,0.00039892205204827114,relu,0.0001,"(10, 30, 10)",constant,2000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",-0.05258175403152299,0.005209012806068003,-0.08378644580174033,-0.10253498501687175,-0.14663226152091346,-0.0760652867129961,0.050787689904207095,26
17,0.450376033782959,0.03261997917212565,0.0007950305938720703,0.00039752786258199433,relu,0.0001,"(10, 30, 10)",constant,2000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.3932968877335019,0.542405341203799,-0.6467247169642893,0.38665686658056353,0.759019876708365,0.286930851052388,0.48602612993209565,11
18,0.2462709903717041,0.01647192513036439,0.0009978771209716796,0.0006306011165464855,relu,0.0001,"(10, 30, 10)",adaptive,2000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",-0.050632575737721064,0.0063786505132757965,-0.08761721908531173,-0.09543646899829272,-0.14835816746332742,-0.07513315615427543,0.05133114393401962,24
19,0.45656800270080566,0.031769155820581145,0.0007977962493896484,0.0003988982208830506,relu,0.0001,"(10, 30, 10)",adaptive,2000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.3932968877335019,0.542405341203799,-0.6467247169642893,0.38665686658056353,0.759019876708365,0.286930851052388,0.48602612993209565,11
20,1.2695847034454346,0.10512701449624154,0.0011963844299316406,0.0007462255181338486,relu,0.0001,"(20,)",constant,2000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",0.31832458986752443,0.32178548048412925,-0.32671560808405187,0.18769641553690486,0.36524644577113585,0.1732674647151285,0.25696161870608986,15
21,0.8329113006591797,0.02318262288232762,0.0007976531982421875,0.0003988266846370742,relu,0.0001,"(20,)",constant,2000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.6164535564793107,0.7822499767637039,-0.20793686574978754,0.5486613660975388,0.5246526804171291,0.452816142801579,0.34241646788349617,3
