,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,1.1132280826568604,0.018937889037532313,0.004187440872192383,0.0003987075145796289,0.001,7,1,500,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 500}",0.3035636800162944,0.4328526121030627,0.20948555863551133,0.023491231128830337,0.20942002930010795,0.23576262223676134,0.1340783407553576,56
57,0.21283130645751952,0.0041167359041920145,0.004188823699951172,0.00039885048017148766,0.001,7,3,100,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 100}",-0.34515967055928676,-0.05060313591968724,-0.06262879736594518,-0.1983730192427018,-0.4013784010521162,-0.21162860482794743,0.14292752393608968,101
58,0.6636274814605713,0.017958791637047604,0.004787158966064453,0.00039896966451610907,0.001,7,3,300,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 300}",0.03900027089539582,0.2706244495324226,0.1253453035263078,-0.03680452553145064,-0.027215751017080736,0.07418994948111897,0.11405664041493353,87
59,1.0841048240661622,0.01654490383198505,0.003789472579956055,0.00039889813538240604,0.001,7,3,500,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 500}",0.30421709779615935,0.494476481384969,0.2516314895504663,0.06641528896851279,0.23561129948843373,0.2704703314377082,0.1374962645914752,44
60,0.1963127613067627,0.014662782173258443,0.0041887760162353516,0.00039887432558979505,0.001,7,5,100,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 100}",-0.34591684326619787,-0.05468246167450608,-0.05793274388045,-0.20390903543602246,-0.40166963637011777,-0.21282214412545883,0.14314740881127871,105
61,0.5986424922943115,0.0329691259808265,0.004986619949340821,1.9073486328124998e-07,0.001,7,5,300,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 300}",0.03889400847513158,0.2593093720539209,0.12981335910426006,-0.051536329803094416,-0.029043854622339937,0.06948731104157564,0.11398483174014647,91
62,0.9949428558349609,0.04890241703431566,0.004188394546508789,0.00039918426614945823,0.001,7,5,500,"{'learning_rate': 0.001, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 500}",0.30519273657409896,0.4655784908720496,0.26107179518662227,0.040529783713701084,0.2323083980560513,0.26093624088050466,0.13655450634325667,49
63,0.2818472385406494,0.010752675763783377,0.004188823699951172,0.00039885048017148766,0.001,9,1,100,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 100}",-0.3454274753280828,-0.039498261678940105,-0.07437299345519932,-0.181292332417186,-0.39971003365310986,-0.20806021930650362,0.14324897350386856,98
64,0.8134278774261474,0.023589518788269793,0.003789520263671875,0.00039880276795332124,0.001,9,1,300,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 300}",0.03834101529004652,0.2833666346333328,0.09342626314333202,-0.015474815767152261,-0.025268332271170202,0.07487815300567777,0.11255169414353967,86
65,1.3041187286376954,0.0485844745415448,0.003987646102905274,2.86102294921875e-07,0.001,9,1,500,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 500}",0.30356903136907254,0.4486076285913414,0.2094855551439211,0.05675837939223838,0.2094183632812293,0.24556779155556052,0.12872219879562866,52
66,0.21622233390808104,0.00820963969622326,0.004388427734375,0.0004885387067869067,0.001,9,3,100,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 100}",-0.34515967055928676,-0.05060313591968724,-0.06262879736594518,-0.1983730192427018,-0.4013784010521162,-0.21162860482794743,0.14292752393608968,101
67,0.6801833152770996,0.037070807603248206,0.0047872066497802734,0.00039899350281149214,0.001,9,3,300,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 300}",0.03900027089539582,0.2706244495324226,0.1253453035263078,-0.03680452553145064,-0.027215751017080736,0.07418994948111897,0.11405664041493353,87
68,1.1262436389923096,0.03780459021418687,0.003989076614379883,0.0006308264484161597,0.001,9,3,500,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 500}",0.30420928423360305,0.494476481384969,0.2516314895504663,0.06641528896851279,0.23561129948843373,0.270468768725197,0.1374958810779044,45
69,0.19627585411071777,0.015051353250496313,0.0041887760162353516,0.0003991127014160156,0.001,9,5,100,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 100}",-0.34591684326619787,-0.05468246167450608,-0.05793274388045,-0.20390903543602246,-0.40166963637011777,-0.21282214412545883,0.14314740881127871,105
70,0.5991995811462403,0.0336586551039915,0.004787302017211914,0.0003989219950512487,0.001,9,5,300,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 300}",0.03889400847513158,0.2593093720539209,0.12981335910426006,-0.051536329803094416,-0.029043854622339937,0.06948731104157564,0.11398483174014647,91
71,0.9977355003356934,0.05311437294831732,0.004188442230224609,0.0003991604563355624,0.001,9,5,500,"{'learning_rate': 0.001, 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 500}",0.30519273657409896,0.4655784908720496,0.26107179518662227,0.040529783713701084,0.2323083980560513,0.26093624088050466,0.13655450634325667,49
72,0.13005270957946777,0.001738811321050193,0.004388189315795899,0.0004885387300577005,0.01,3,1,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100}",0.6551625342341278,0.6706392321239613,0.4423987576052345,-0.07930254723903629,0.5536019412436232,0.4484999835935821,0.2763021583660348,31
73,0.3891605377197266,0.0017158836997769335,0.004787158966064453,0.0003989696930112163,0.01,3,1,300,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300}",0.868053618327022,0.809747808187803,0.5921875204144267,-0.8422980139370184,0.8432948468472599,0.4541971559678986,0.6555961435281517,30
74,0.6475171089172364,0.0038322671348364513,0.004787588119506836,0.00039894624654889123,0.01,3,1,500,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",0.8757888965772906,0.7892499886761228,0.5696285378605638,-1.327434369211804,0.8483974117016031,0.35112609312075527,0.8461454855441806,38
75,0.1300525665283203,0.001017120909113423,0.004587793350219726,0.0004885387067869067,0.01,3,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100}",0.6440492729602765,0.7375314858132264,0.4358211617676615,0.11544483473148404,0.584478286016761,0.5034650082578819,0.21737044306978134,22
76,0.3848219871520996,0.0020413845423155573,0.004986715316772461,1.784161275279017e-07,0.01,3,3,300,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300}",0.8666888798460508,0.8079259090187799,0.5790625395368154,-0.11843934415407853,0.8440495641746089,0.5958575096844353,0.371597631692604,6
